cod_origen,cod_canonico,especie_origen,especie_canonica,cientifico_origen,cientifico_canonico,genero_canonico,accion,confianza,nota
Nb,Nb,Nardophyllum bryoides,Nardophyllum bryoides,Nardophyllum bryoides,Nardophyllum bryoides,Nardophyllum,sin_cambio,alta,Sin observaciones
Nl,Nl,Nardophyllum lanatum,Nardophyllum lanatum,Nardophyllum lanatum,Nardophyllum lanatum,Nardophyllum,sin_cambio,alta,Sin observaciones
nl,nl,Nassauvia aculeata,Nassauvia aculeata,Nassauvia aculeata,Nassauvia aculeata,Nassauvia,sin_cambio,alta,Sin observaciones
n17,n17,Nassauvia cumingii,Nassauvia cumingii,Nassauvia cumingii,Nassauvia cumingii,Nassauvia,sin_cambio,alta,Sin observaciones
na,na,Nassauvia pyramidalis,Nassauvia pyramidalis,Nassauvia pyramidalis,Nassauvia pyramidalis,Nassauvia,sin_cambio,alta,Sin observaciones
n18,n18,Nassella gigantea,Nassella gigantea,Nassella gigantea,Nassella gigantea,Nassella,sin_cambio,alta,Sin observaciones
nv,nv,Nassella laevissima,Nassella laevissima,Nassella laevissima,Nassella laevissima,Nassella,sin_cambio,alta,Sin observaciones
n19,n19,Nassella pungens,Nassella pungens,Nassella pungens,Nassella pungens,Nassella,sin_cambio,alta,Sin observaciones
n20,n20,Nassella sp.,Nassella sp.,Nassella sp.,Nassella sp.,Nassella,sin_cambio,alta,Sin observaciones
n28,n28,Nasturtium officinale,Nasturtium officinale,Nasturtium officinale,Nasturtium officinale,Nasturtium,sin_cambio,alta,Sin observaciones
Mm,Mm,neneo,neneo,Mulinum ulicinum,Mulinum ulicinum,Mulinum,sin_cambio,alta,Sin observaciones
y5,y5,Neuontobotrys lanata,Neuontobotrys lanata,Neuontobotrys lanata,Neuontobotrys lanata,Neuontobotrys,sin_cambio,alta,Sin observaciones
n12,n12,Neuontobotrys linearifolia,Neuontobotrys linearifolia,Neuontobotrys linearifolia,Neuontobotrys linearifolia,Neuontobotrys,sin_cambio,alta,Sin observaciones
n14,n14,Neuontobotrys tarapacana,Neuontobotrys tarapacana,Neuontobotrys tarapacana,Neuontobotrys tarapacana,Neuontobotrys,sin_cambio,alta,Sin observaciones
nc1,nc1,Nicoraepoa chonotica,Nicoraepoa chonotica,Nicoraepoa chonotica,Nicoraepoa chonotica,Nicoraepoa,sin_cambio,alta,Sin observaciones
n29,n29,Nicoraepoa robusta,Nicoraepoa robusta,Nicoraepoa robusta,Nicoraepoa robusta,Nicoraepoa,sin_cambio,alta,Sin observaciones
ns1,ns1,Nicoraepoa subenervis,Nicoraepoa subenervis,Nicoraepoa subenervis,Nicoraepoa subenervis,Nicoraepoa,sin_cambio,alta,Sin observaciones
NT,NT,ñirre,ñirre,Nothofagus antarctica,Nothofagus antarctica,Nothofagus,sin_cambio,alta,Sin observaciones
xn,xn,Nolana acuminata,Nolana acuminata,Nolana acuminata,Nolana acuminata,Nolana,sin_cambio,alta,Sin observaciones
Ol,Ol,Nolana albescens,Nolana albescens,Nolana albescens,Nolana albescens,Nolana,sin_cambio,alta,Sin observaciones
n24,n24,Nolana aplocaryoides,Nolana aplocaryoides,Nolana aplocaryoides,Nolana aplocaryoides,Nolana,sin_cambio,alta,Sin observaciones
nb,nb,Nolana baccata,Nolana baccata,Nolana baccata,Nolana baccata,Nolana,sin_cambio,alta,Sin observaciones
N5,N5,Nolana carnosa,Nolana carnosa,Nolana carnosa,Nolana carnosa,Nolana,sin_cambio,alta,Sin observaciones
N11,N11,Nolana clivicola,Nolana clivicola,Nolana clivicola,Nolana clivicola,Nolana,sin_cambio,alta,Sin observaciones
N6,N6,Nolana incana,Nolana incana,Nolana incana,Nolana incana,Nolana,sin_cambio,alta,Sin observaciones
N12,N12,Nolana inconspicua,Nolana inconspicua,Nolana inconspicua,Nolana inconspicua,Nolana,sin_cambio,alta,Sin observaciones
n25,n25,Nolana jaffuelii,Nolana jaffuelii,Nolana jaffuelii,Nolana jaffuelii,Nolana,sin_cambio,alta,Sin observaciones
n27,n27,Nolana mollis,Nolana mollis,Nolana mollis,Nolana mollis,Nolana,sin_cambio,alta,Sin observaciones
n23,n23,Nolana pterocarpa,Nolana pterocarpa,Nolana pterocarpa,Nolana pterocarpa,Nolana,sin_cambio,alta,Sin observaciones
N8,N8,Nolana ramosissima,Nolana ramosissima,Nolana ramosissima,Nolana ramosissima,Nolana,sin_cambio,alta,Sin observaciones
On,On,Nolana salsoloides,Nolana salsoloides,Nolana salsoloides,Nolana salsoloides,Nolana,sin_cambio,alta,Sin observaciones
N9,N9,Nolana sphaerophylla,Nolana sphaerophylla,Nolana sphaerophylla,Nolana sphaerophylla,Nolana,sin_cambio,alta,Sin observaciones
n22,n22,Nolana tarapacana,Nolana tarapacana,Nolana tarapacana,Nolana tarapacana,Nolana,sin_cambio,alta,Sin observaciones
N15,N15,Nolana villosa,Nolana villosa,Nolana villosa,Nolana villosa,Nolana,sin_cambio,alta,Sin observaciones
N3,N3,Nolana werdermannii,Nolana werdermannii,Nolana werdermannii,Nolana werdermannii,Nolana,sin_cambio,alta,Sin observaciones
EN,EN,notro,notro,Embothrium coccineum,Embothrium coccineum,Embothrium,sin_cambio,alta,Sin observaciones
oq,oq,Oenothera coquimbensis,Oenothera coquimbensis,Oenothera coquimbensis,Oenothera coquimbensis,Oenothera,sin_cambio,alta,Sin observaciones
Aj,Aj,ojalar,ojalar,Atriplex imbricata,Atriplex imbricata,Atriplex,sin_cambio,alta,Sin observaciones
Px,Px,olivillo,olivillo,Proustia ilicifolia,Proustia ilicifolia,Proustia,sin_cambio,alta,Sin observaciones
AP,AP,olivillo,olivillo,Aextoxicon punctatum,Aextoxicon punctatum,Aextoxicon,sin_cambio,alta,Sin observaciones
Pb,Pb,olivillo,olivillo,Proustia baccharoides,Proustia baccharoides,Proustia,sin_cambio,alta,Sin observaciones
Oy,Oy,Ophryosporus pinifolius,Ophryosporus pinifolius,Ophryosporus pinifolius,Ophryosporus pinifolius,Ophryosporus,sin_cambio,alta,Sin observaciones
Vn,Vn,oreganillo,oreganillo,Viviania marifolia,Viviania marifolia,Viviania,sin_cambio,alta,Sin observaciones
oo,oo,Oreobolus obtusangulus,Oreobolus obtusangulus,Oreobolus obtusangulus,Oreobolus obtusangulus,Oreobolus,sin_cambio,alta,Sin observaciones
oL,oL,Oreocereus leucotrichus,Oreocereus leucotrichus,Oreocereus leucotrichus,Oreocereus leucotrichus,Oreocereus,sin_cambio,alta,Sin observaciones
Mg,Mg,orocoipo,orocoipo,Myoschilos oblonga,Myoschilos oblonga,Myoschilos,sin_cambio,alta,Sin observaciones
lq,lq,orquídea,orquídea,Chloraea cristata,Chloraea cristata,Chloraea,sin_cambio,alta,Sin observaciones
lt,lt,ortiga brava,ortiga brava,Loasa tricolor,Loasa tricolor,Loasa,sin_cambio,alta,Sin observaciones
ls,ls,ortiga caballuna,ortiga caballuna,Loasa triloba,Loasa triloba,Loasa,sin_cambio,alta,Sin observaciones
Ox,Ox,Oxalis gigantea,Oxalis gigantea,Oxalis gigantea,Oxalis gigantea,Oxalis,sin_cambio,alta,Sin observaciones
O10,O10,Oxalis virgosa,Oxalis virgosa,Oxalis virgosa,Oxalis virgosa,Oxalis,sin_cambio,alta,Sin observaciones
o16,o16,Oxychlo� haumaniana,Oxychloë haumaniana,Oxychlo� haumaniana,Oxychloë haumaniana,Oxychloë,codificacion,alta,Carácter de reemplazo U+FFFD por pérdida de la ë. Corregir en el origen.
O11,O11,Oxyphyllum ulicinum,Oxyphyllum ulicinum,Oxyphyllum ulicinum,Oxyphyllum ulicinum,Oxyphyllum,sin_cambio,alta,Sin observaciones
o19,o19,Oxytheca dendroidea,Oxytheca dendroidea,Oxytheca dendroidea,Oxytheca dendroidea,Oxytheca,sin_cambio,alta,Sin observaciones
MV,MV,Pacama,Pacama,Morella pavonis,Morella pavonis,Morella,sin_cambio,alta,Sin observaciones
KC,KC,pacul,pacul,Krameria cistoidea,Krameria cistoidea,Krameria,sin_cambio,alta,Sin observaciones
s14,s14,Paja amarilla,Paja amarilla,Stipa leptostachya,Stipa leptostachya,Stipa,sin_cambio,alta,Sin observaciones
fo,fo,Paja brava,Paja brava,FesTuca orthophylla,Festuca orthophylla,Festuca,ortografia,alta,Mayúscula intercalada en el género.
fe,fe,Paja brava,Paja brava,Festuca chrysophylla,Festuca chrysophylla,Festuca,sin_cambio,alta,Sin observaciones
oa,oa,Pako,Pako,Oxychloë andina,Oxychloë andina,Oxychloë,sin_cambio,alta,Sin observaciones
st,st,"pako, sinonimia con scirpus atacamensis","pako, sinonimia con scirpus atacamensis",Zameioscirpus atacamensis,Zameioscirpus atacamensis,Zameioscirpus,sin_cambio,alta,Sin observaciones
l24,l24,paladar de chancho,paladar de chancho,Leptinella scariosa,Leptinella scariosa,Leptinella,sin_cambio,alta,Sin observaciones
Am,Am,palhuén,palhuén,Adesmia microphylla,Adesmia microphylla,Adesmia,sin_cambio,alta,Sin observaciones
ah,ah,palito negro,palito negro,Adiantum chilense,Adiantum chilense,Adiantum,sin_cambio,alta,Sin observaciones
JC,JC,palma chilena,palma chilena,Jubaea chilensis,Jubaea chilensis,Jubaea,sin_cambio,alta,Sin observaciones
kk,kk,palmilla,palmilla,Lophosoria quadripinnata,Lophosoria quadripinnata,Lophosoria,sin_cambio,alta,Sin observaciones
bp,bp,palmita,palmita,Blechnum penna-marina,Blechnum penna-marina,Blechnum,sin_cambio,alta,Sin observaciones
ba,ba,palmito,palmito,Blechnum magellanicum,Blechnum magellanicum,Blechnum,sin_cambio,alta,Sin observaciones
LW,LW,"palo colorado,lúcumo silvestre","palo colorado,lúcumo silvestre",Pouteria splendens,Pouteria splendens,Pouteria,sin_cambio,alta,Sin observaciones
Fl,Fl,palo falso,palo falso,Fuchsia lycioides,Fuchsia lycioides,Fuchsia,sin_cambio,alta,Sin observaciones
Pa,Pa,palo negro,palo negro,Heliotropium stenophyllum,Heliotropium stenophyllum,Heliotropium,sin_cambio,alta,Sin observaciones
Cp,Cp,palqui,palqui,Cestrum parqui,Cestrum parqui,Cestrum,sin_cambio,alta,Sin observaciones
gt,gt,pangue,pangue,Gunnera tinctoria,Gunnera tinctoria,Gunnera,sin_cambio,alta,Sin observaciones
p54,p54,Pappostipa sp.,Pappostipa sp.,Pappostipa sp.,Pappostipa sp.,Pappostipa,sin_cambio,alta,Sin observaciones
Ab,Ab,paramela,paramela,Adesmia boronioides,Adesmia boronioides,Adesmia,sin_cambio,alta,Sin observaciones
Ar,Ar,paramela de til til,paramela de til til,Adesmia resinosa,Adesmia resinosa,Adesmia,sin_cambio,alta,Sin observaciones
P7,P7,Parastrephia phyliciformis,Parastrephia phyliciformis,Parastrephia phyliciformis,Parastrephia phyliciformis,Parastrephia,sin_cambio,alta,Sin observaciones
Ri,Ri,parrilla falsa,parrilla falsa,Ribes integrifolium,Ribes integrifolium,Ribes,sin_cambio,alta,Sin observaciones
tl,tl,pasto chinchillero,pasto chinchillero,Stipa plumosa,Stipa plumosa,Stipa,sin_cambio,alta,Sin observaciones
hl,hl,pasto miel,pasto miel,Holcus lanatus,Holcus lanatus,Holcus,sin_cambio,alta,Sin observaciones
dg,dg,pasto ovillo,pasto ovillo,Dactylis glomerata,Dactylis glomerata,Dactylis,sin_cambio,alta,Sin observaciones
on,on,pasto piojillo,pasto piojillo,Poa annua,Poa annua,Poa,sin_cambio,alta,Sin observaciones
vm,vm,pasto sedilla,pasto sedilla,Vulpia myuros,Vulpia myuros,Vulpia,sin_cambio,alta,Sin observaciones
vd,vd,pasto sedilla,pasto sedilla,Vulpia bromoides,Vulpia bromoides,Vulpia,sin_cambio,alta,Sin observaciones
ck,ck,pata de guanaco,pata de guanaco,Calandrinia longiscapa,Calandrinia longiscapa,Calandrinia,sin_cambio,alta,Sin observaciones
cj,cj,pata de guanaco,pata de guanaco,Calandrinia grandiflora,Calandrinia grandiflora,Calandrinia,sin_cambio,alta,Sin observaciones
CR,CR,patagua,patagua,Crinodendron patagua,Crinodendron patagua,Crinodendron,sin_cambio,alta,Sin observaciones
pc,pc,Patosia clandestina,Patosia clandestina,Patosia clandestina,Patosia clandestina,Patosia,sin_cambio,alta,Sin observaciones
p10,p10,Pectocarya anomala,Pectocarya anomala,Pectocarya anomala,Pectocarya anomala,Pectocarya,sin_cambio,alta,Sin observaciones
pf,pf,Pectocarya dimorpha,Pectocarya dimorpha,Pectocarya dimorpha,Pectocarya dimorpha,Pectocarya,sin_cambio,alta,Sin observaciones
pk,pk,Pectocarya linearis,Pectocarya linearis,Pectocarya linearis,Pectocarya linearis,Pectocarya,sin_cambio,alta,Sin observaciones
Es,Es,pegajoso,pegajoso,Eupatorium salvium,Eupatorium salvium,Eupatorium,sin_cambio,alta,Sin observaciones
AA,AA,"pehuen, araucaria","pehuen, araucaria",Araucaria araucana,Araucaria araucana,Araucaria,sin_cambio,alta,Sin observaciones
wh,wh,pelo de marisma,pelo de marisma,Ruppia maritima,Ruppia maritima,Ruppia,sin_cambio,alta,Sin observaciones
p13,p13,Pennisetum clandestinum,Pennisetum clandestinum,Pennisetum clandestinum,Pennisetum clandestinum,Pennisetum,sin_cambio,alta,Sin observaciones
p7,p7,Perityle emoryi,Perityle emoryi,Perityle emoryi,Perityle emoryi,Perityle,sin_cambio,alta,Sin observaciones
PA1,PA1,Persea americana,Persea americana,Persea americana,Persea americana,Persea,sin_cambio,alta,Sin observaciones
Bx,Bx,Pesco tola,Pesco tola,Baccharis boliviensis,Baccharis boliviensis,Baccharis,sin_cambio,alta,Sin observaciones
CA,CA,peumo,peumo,Cryptocarya alba,Cryptocarya alba,Cryptocarya,sin_cambio,alta,Sin observaciones
p40,p40,Philippiamra amaranthoides,Philippiamra amaranthoides,Philippiamra amaranthoides,Philippiamra amaranthoides,Philippiamra,sin_cambio,alta,Sin observaciones
p15,p15,Philippiamra celosioides,Philippiamra celosioides,Philippiamra celosioides,Philippiamra celosioides,Philippiamra,sin_cambio,alta,Sin observaciones
pa,pa,Phleum alpinum,Phleum alpinum,Phleum alpinum,Phleum alpinum,Phleum,sin_cambio,alta,Sin observaciones
pj,pj,Phragmites australis,Phragmites australis,Phragmites australis,Phragmites australis,Phragmites,sin_cambio,alta,Sin observaciones
P3,P3,Phrodus microphyllus,Phrodus microphyllus,Phrodus microphyllus,Phrodus microphyllus,Phrodus,sin_cambio,alta,Sin observaciones
y2,y2,Phylloscirpus acaulis,Phylloscirpus acaulis,Phylloscirpus acaulis,Phylloscirpus acaulis,Phylloscirpus,sin_cambio,alta,Sin observaciones
wñ,wñ,Phylloscirpus deserticola,Phylloscirpus deserticola,Phylloscirpus deserticola,Phylloscirpus deserticola,Phylloscirpus,sin_cambio,alta,Sin observaciones
wÃ,wñ,Phylloscirpus deserticola,Phylloscirpus deserticola,Phylloscirpus deserticola,Phylloscirpus deserticola,Phylloscirpus,codificacion,media,Mojibake de «wñ»: el código wñ existe y designa la misma especie (Phylloscirpus deserticola). Confirmar y fusionar.
Gr,Gr,pichanilla,pichanilla,Gutierrezia resinosa,Gutierrezia resinosa,Gutierrezia,sin_cambio,alta,Sin observaciones
MP,MP,picha picha,picha picha,Myrceugenia planipes,Myrceugenia planipes,Myrceugenia,sin_cambio,alta,Sin observaciones
Fi,Fi,pichi,pichi,Fabiana imbricata,Fabiana imbricata,Fabiana,sin_cambio,alta,Sin observaciones
Oi,Oi,pillo pillo,pillo pillo,Ovidia pillopillo,Ovidia pillopillo,Ovidia,sin_cambio,alta,Sin observaciones
SO,SO,pimiento,pimiento,Schinus areira,Schinus areira,Schinus,sin_cambio,alta,Sin observaciones
ap,ap,pimpinela,pimpinela,Acaena pinnatifida,Acaena pinnatifida,Acaena,sin_cambio,alta,Sin observaciones
Eb,Eb,pingo pingo,pingo pingo,Ephedra breana,Ephedra breana,Ephedra,sin_cambio,alta,Sin observaciones
Em,Em,pingo pingo,pingo pingo,Ephedra multiflora,Ephedra multiflora,Ephedra,sin_cambio,alta,Sin observaciones
Ea,Ea,pingo pingo,pingo pingo,Ephedra andina,Ephedra andina,Ephedra,sin_cambio,alta,Sin observaciones
PW,PW,pino escocés,pino escocés,Pinus silvestris,Pinus sylvestris,Pinus,ortografia,alta,"Epíteto mal escrito: el nombre válido es Pinus sylvestris. No hay otra entrada con esa grafía, así que no genera fusión."
PR,PR,pino insigne,pino insigne,Pinus radiata,Pinus radiata,Pinus,sin_cambio,alta,Sin observaciones
PE,PE,pino marítimo,pino marítimo,Pinus pinaster,Pinus pinaster,Pinus,sin_cambio,alta,Sin observaciones
PO,PO,pino oregón,pino oregón,Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga,sin_cambio,alta,Sin observaciones
PY,PY,pino piñonero,pino piñonero,Pinus pinea,Pinus pinea,Pinus,sin_cambio,alta,Sin observaciones
PS1,PS1,Pinus sp.,Pinus sp.,Pinus sp.,Pinus sp.,Pinus,sin_cambio,alta,Sin observaciones
b9,b9,Piptochaetium montevidense,Piptochaetium montevidense,Piptochaetium montevidense,Piptochaetium montevidense,Piptochaetium,sin_cambio,alta,Sin observaciones
ps1,ps1,Piptochaetium setosum,Piptochaetium setosum,Piptochaetium setosum,Piptochaetium setosum,Piptochaetium,sin_cambio,alta,Sin observaciones
ps,ps,Piptochaetium stipoides,Piptochaetium stipoides,Piptochaetium stipoides,Piptochaetium stipoides,Piptochaetium,sin_cambio,alta,Sin observaciones
ME,ME,pitra,pitra,Myrceugenia exsucca,Myrceugenia exsucca,Myrceugenia,sin_cambio,alta,Sin observaciones
A12,A12,Piyaya,Piyaya,Atriplex glaucescens,Atriplex glaucescens,Atriplex,sin_cambio,alta,Sin observaciones
p28,p28,Plantago barbata,Plantago barbata,Plantago barbata,Plantago barbata,Plantago,sin_cambio,alta,Sin observaciones
pp,pp,Plantago hispidula,Plantago hispidula,Plantago hispidula,Plantago hispidula,Plantago,sin_cambio,alta,Sin observaciones
pt,pt,Plantago rancaguae,Plantago rancaguae,Plantago rancaguae,Plantago rancaguae,Plantago,sin_cambio,alta,Sin observaciones
p24,p24,Plantago sericea,Plantago sericea,Plantago sericea,Plantago sericea,Plantago,sin_cambio,alta,Sin observaciones
p19,p19,Plantago sp.,Plantago sp.,Plantago sp.,Plantago sp.,Plantago,sin_cambio,alta,Sin observaciones
p18,p18,Plantago tubulosa,Plantago tubulosa,Plantago tubulosa,Plantago tubulosa,Plantago,sin_cambio,alta,Sin observaciones
p29,p29,Pleurophora pusilla,Pleurophora pusilla,Pleurophora pusilla,Pleurophora pusilla,Pleurophora,sin_cambio,alta,Sin observaciones
pa4,pa4,Poa acinaciphylla,Poa acinaciphylla,Poa acinaciphylla,Poa acinaciphylla,Poa,sin_cambio,alta,Sin observaciones
pa1,pa1,Poa alopecurus,Poa alopecurus,Poa alopecurus,Poa alopecurus,Poa,sin_cambio,alta,Sin observaciones
ph,ph,Poa holciformis,Poa holciformis,Poa holciformis,Poa holciformis,Poa,sin_cambio,alta,Sin observaciones
pr,pr,Poa pratensis,Poa pratensis,Poa pratensis,Poa pratensis,Poa,sin_cambio,alta,Sin observaciones
ps2,ps2,Poa secunda,Poa secunda,Poa secunda,Poa secunda,Poa,sin_cambio,alta,Sin observaciones
zx,zx,Poa sp.,Poa sp.,Poa sp.,Poa sp.,Poa,sin_cambio,alta,Sin observaciones
p45,p45,Poa spiciformis,Poa spiciformis,Poa spiciformis,Poa spiciformis,Poa,sin_cambio,alta,Sin observaciones
P6,P6,Polyachyrus cinereus,Polyachyrus cinereus,Polyachyrus cinereus,Polyachyrus cinereus,Polyachyrus,sin_cambio,alta,Sin observaciones
Pf,Pf,Polyachyrus fuscus,Polyachyrus fuscus,Polyachyrus fuscus,Polyachyrus fuscus,Polyachyrus,sin_cambio,alta,Sin observaciones
am,am,Polypogon magellanicus,Polypogon magellanicus,Polypogon magellanicus,Polypogon magellanicus,Polypogon,sin_cambio,alta,Sin observaciones
py,py,Polystichum sp.,Polystichum sp.,Polystichum sp.,Polystichum sp.,Polystichum,sin_cambio,alta,Sin observaciones
PX,PX,Populus x euroamericana,Populus x euroamericana,Populus x euroamericana,Populus x euroamericana,Populus,sin_cambio,alta,Sin observaciones
pl1,pl1,Potamogeton linguatus,Potamogeton linguatus,Potamogeton linguatus,Potamogeton linguatus,Potamogeton,sin_cambio,alta,Sin observaciones
pa2,pa2,Potentilla anserina,Potentilla anserina,Potentilla anserina,Potentilla anserina,Potentilla,sin_cambio,alta,Sin observaciones
E1,E1,Prosopis chilensis,Prosopis chilensis,Encelia canescens,Encelia canescens,Encelia,sin_cambio,alta,Sin observaciones
PF,PF,Prosopis flexuosa,Prosopis flexuosa,Prosopis flexuosa,Prosopis flexuosa,Prosopis,sin_cambio,alta,Sin observaciones
P8,P8,Proustia tipia,Proustia tipia,Proustia tipia,Proustia tipia,Proustia,sin_cambio,alta,Sin observaciones
h11,h11,Psikepsike,Psikepsike,Hypochaeris taraxacoides,Hypochaeris taraxacoides,Hypochaeris,sin_cambio,alta,Sin observaciones
p20,p20,Puccinellia frigida,Puccinellia frigida,Puccinellia frigida,Puccinellia frigida,Puccinellia,sin_cambio,alta,Sin observaciones
u4,u4,Puccinellia glaucescens,Puccinellia glaucescens,Puccinellia glaucescens,Puccinellia glaucescens,Puccinellia,sin_cambio,alta,Sin observaciones
p47,p47,Puccinellia magellanica,Puccinellia magellanica,Puccinellia magellanica,Puccinellia magellanica,Puccinellia,sin_cambio,alta,Sin observaciones
p51,p51,Puccinellia pusilla,Puccinellia pusilla,Puccinellia pusilla,Puccinellia pusilla,Puccinellia,sin_cambio,alta,Sin observaciones
p48,p48,Puccinellia sp.,Puccinellia sp.,Puccinellia sp.,Puccinellia sp.,Puccinellia,sin_cambio,alta,Sin observaciones
Pk,Pk,Pulika,Pulika,Parastrephia lepidophylla,Parastrephia lepidophylla,Parastrephia,sin_cambio,alta,Sin observaciones
Pq,Pq,pulika,pulika,Parastrephia quadrangularis,Parastrephia quadrangularis,Parastrephia,sin_cambio,alta,Sin observaciones
J2,J2,Pupusa,Pupusa,Junellia minima,Junellia minima,Junellia,sin_cambio,alta,Sin observaciones
pP,pP,puya,puya,Puya alpestris,Puya alpestris,Puya,sin_cambio,alta,Sin observaciones
pA,pA,Puya coerulea,Puya coerulea,Puya coerulea,Puya coerulea,Puya,sin_cambio,alta,Sin observaciones
Sc,Sc,quebracho,quebracho,Senna candolleana,Senna candolleana,Senna,sin_cambio,alta,Sin observaciones
QU,QU,Queñoa,Queñoa,Polylepis rugulosa,Polylepis rugulosa,Polylepis,sin_cambio,alta,Sin observaciones
QT,QT,Queñoa de altura,Queñoa de altura,Polylepis tarapacana,Polylepis tarapacana,Polylepis,sin_cambio,alta,Sin observaciones
Cq,Cq,quila,quila,Chusquea quila,Chusquea quila,Chusquea,sin_cambio,alta,Sin observaciones
Cu,Cu,quila chica,quila chica,Chusquea cumingii,Chusquea cumingii,Chusquea,sin_cambio,alta,Sin observaciones
Lr,Lr,quilineja,quilineja,Luzuriaga radicans,Luzuriaga radicans,Luzuriaga,sin_cambio,alta,Sin observaciones
QS,QS,quillay,quillay,Quillaja saponaria,Quillaja saponaria,Quillaja,sin_cambio,alta,Sin observaciones
sx,sx,quilloy quilloy,quilloy quilloy,Stellaria media,Stellaria media,Stellaria,sin_cambio,alta,Sin observaciones
Mh,Mh,"quilo, mollaca","quilo, mollaca",Muehlenbeckia hastulata,Muehlenbeckia hastulata,Muehlenbeckia,sin_cambio,alta,Sin observaciones
ff,ff,quinchamalí,quinchamalí,Quinchamalium chilense,Quinchamalium chilense,Quinchamalium,sin_cambio,alta,Sin observaciones
eQ,eQ,quisco,quisco,Echinopsis chiloensis,Echinopsis chiloensis,Echinopsis,sin_cambio,alta,Sin observaciones
eP,eP,quisco,quisco,Trichocereus litoralis,Trichocereus litoralis,Trichocereus,sin_cambio,alta,Sin observaciones
tC,tC,quisco,quisco,Trichocereus chiloensis,Trichocereus chiloensis,Trichocereus,sin_cambio,alta,Sin observaciones
cC,cC,quisco,quisco,Copiapoa cinerascens,Copiapoa cinerascens,Copiapoa,sin_cambio,alta,Sin observaciones
cD,cD,quisco,quisco,Copiapoa dealbata,Copiapoa dealbata,Copiapoa,sin_cambio,alta,Sin observaciones
cQ,cQ,quisco,quisco,Copiapoa coquimbana,Copiapoa coquimbana,Copiapoa,sin_cambio,alta,Sin observaciones
cG,cG,quisco,quisco,Copiapoa gigantea,Copiapoa gigantea,Copiapoa,sin_cambio,alta,Sin observaciones
cE,cE,quisco,quisco,Copiapoa eremophila,Copiapoa eremophila,Copiapoa,sin_cambio,alta,Sin observaciones
cH,cH,quisco,quisco,Copiapoa haseltoniana,Copiapoa haseltoniana,Copiapoa,sin_cambio,alta,Sin observaciones
cS,cS,quisco,quisco,Copiapoa solaris,Copiapoa solaris,Copiapoa,sin_cambio,alta,Sin observaciones
cI,cI,quisco,quisco,Copiapoa cinerea,Copiapoa cinerea,Copiapoa,sin_cambio,alta,Sin observaciones
cL,cL,quisco,quisco,Copiapoa longistaminea,Copiapoa longistaminea,Copiapoa,sin_cambio,alta,Sin observaciones
Ot,Ot,rabo de zorra,rabo de zorra,Ophryosporus triangularis,Ophryosporus triangularis,Ophryosporus,sin_cambio,alta,Sin observaciones
Op,Op,rabo de zorra,rabo de zorra,Ophryosporus paradoxus,Ophryosporus paradoxus,Ophryosporus,sin_cambio,alta,Sin observaciones
r12,r12,Racomitrium sp.,Racomitrium sp.,Racomitrium sp.,Racomitrium sp.,Racomitrium,sin_cambio,alta,Sin observaciones
LH,LH,radal,radal,Lomatia hirsuta,Lomatia hirsuta,Lomatia,sin_cambio,alta,Sin observaciones
Om,Om,radal enano,radal enano,Orites myrtoidea,Orites myrtoidea,Orites,sin_cambio,alta,Sin observaciones
Rd,Rd,raden,raden,Baccharis sphaerocephala,Baccharis sphaerocephala,Baccharis,sin_cambio,alta,Sin observaciones
rn,rn,Ranunculus peduncularis,Ranunculus peduncularis,Ranunculus peduncularis,Ranunculus peduncularis,Ranunculus,sin_cambio,alta,Sin observaciones
ru,ru,Ranunculus pubescens,Ranunculus pubescens,Ranunculus pubescens,Ranunculus pubescens,Ranunculus,sin_cambio,alta,Sin observaciones
r13,r13,Ranunculus repens,Ranunculus repens,Ranunculus repens,Ranunculus repens,Ranunculus,sin_cambio,alta,Sin observaciones
r17,r17,Ranunculus sp.,Ranunculus sp.,Ranunculus sp.,Ranunculus sp.,Ranunculus,sin_cambio,alta,Sin observaciones
q2,q2,Raphanus sativus,Raphanus sativus,Raphanus sativus,Raphanus sativus,Raphanus,sin_cambio,alta,Sin observaciones
nan,nan,raulí,raulí,Nothofagus alpina,Nothofagus alpina,Nothofagus,sin_cambio,alta,Sin observaciones
Dj,Dj,retama,retama,Diostea juncea,Diostea juncea,Diostea,sin_cambio,alta,Sin observaciones
Gm,Gm,retamilla,retamilla,Genista monspessulana,Genista monspessulana,Genista,sin_cambio,alta,Sin observaciones
Re,Re,retamilla,retamilla,Retanilla ephedra,Retanilla ephedra,Retanilla,sin_cambio,alta,Sin observaciones
Bu,Bu,retamo,retamo,Bulnesia chilensis,Bulnesia chilensis,Bulnesia,sin_cambio,alta,Sin observaciones
S1,S1,retamo de olor,retamo de olor,Spartium junceum,Spartium junceum,Spartium,sin_cambio,alta,Sin observaciones
Rq,Rq,Retanilla quinquinervia,Retanilla quinquinervia,Retanilla quinquinervia,Retanilla quinquinervia,Retanilla,sin_cambio,alta,Sin observaciones
Rt,Rt,Retanilla stricta,Retanilla stricta,Retanilla stricta,Retanilla stricta,Retanilla,sin_cambio,alta,Sin observaciones
Ps,Ps,"Retortón, fortuna, tamarugo enan","Retortón, fortuna, tamarugo enan",Prosopis strombulifera,Prosopis strombulifera,Prosopis,sin_cambio,alta,Sin observaciones
